Model_Type,Epochs,Trial,Epsilon,Adv_Accuracy
robust_cnn,08,1,0.2,18.63
robust_cnn,08,2,0.2,15.07
robust_cnn,08,3,0.2,14.88
robust_cnn,09,1,0.2,23.28
robust_cnn,09,2,0.2,32.5
robust_cnn,09,3,0.2,18.09
robust_cnn,10,1,0.2,28.53
robust_cnn,10,2,0.2,12.36
robust_cnn,10,3,0.2,28.11
simple_cnn,01,1,0.2,35.9
simple_cnn,01,2,0.2,26.44
simple_cnn,01,3,0.2,34.11
simple_cnn,02,1,0.2,38.31
simple_cnn,02,2,0.2,35.52
simple_cnn,02,3,0.2,28.7
simple_cnn,03,1,0.2,37.13
simple_cnn,03,2,0.2,39.94
simple_cnn,03,3,0.2,48.32
simple_cnn,04,1,0.2,27.9
simple_cnn,04,2,0.2,38.27
simple_cnn,04,3,0.2,47.48
simple_cnn,05,1,0.2,43.1
simple_cnn,05,2,0.2,34.38
simple_cnn,05,3,0.2,34.5
simple_cnn,06,1,0.2,29.97
simple_cnn,06,2,0.2,35.68
simple_cnn,06,3,0.2,40.39
simple_cnn,07,1,0.2,47.31
simple_cnn,07,2,0.2,42.31
simple_cnn,07,3,0.2,39.51
simple_cnn,08,1,0.2,49.57
simple_cnn,08,2,0.2,49.04
simple_cnn,08,3,0.2,47.81
simple_cnn,09,1,0.2,50.66
simple_cnn,09,2,0.2,46.12
simple_cnn,09,3,0.2,51.34
simple_cnn,10,1,0.2,41.94
simple_cnn,10,2,0.2,52.27
simple_cnn,10,3,0.2,53.45
simple_mlp,01,1,0.2,0.47
simple_mlp,01,2,0.2,0.27
simple_mlp,01,3,0.2,0.11
simple_mlp,02,1,0.2,0.05
simple_mlp,02,2,0.2,0.25
simple_mlp,02,3,0.2,0.16
simple_mlp,03,1,0.2,0.27
simple_mlp,03,2,0.2,0.12
simple_mlp,03,3,0.2,0.21
simple_mlp,04,1,0.2,0.15
simple_mlp,04,2,0.2,0.54
simple_mlp,04,3,0.2,0.32
simple_mlp,05,1,0.2,0.34
simple_mlp,05,2,0.2,0.55
simple_mlp,05,3,0.2,0.32
simple_mlp,06,1,0.2,0.46
simple_mlp,06,2,0.2,0.89
simple_mlp,06,3,0.2,1.0
simple_mlp,07,1,0.2,1.01
simple_mlp,07,2,0.2,1.43
simple_mlp,07,3,0.2,1.55
simple_mlp,08,1,0.2,1.24
simple_mlp,08,2,0.2,1.04
simple_mlp,08,3,0.2,1.53
